Hostname,IP Address
v2vworkshop2021.iiitd.edu.in,103.25.231.5
ns1.iiitd.edu.in,103.25.231.10
icdcn2022.iiitd.edu.in,103.25.231.5
lcs2.iiitd.edu.in,103.25.231.5
ns2.iiitd.edu.in,103.25.231.10
bda2014.iiitd.edu.in,103.25.231.5
ask2014.iiitd.edu.in,103.25.231.5
byld5.iiitd.edu.in,103.25.231.35
indocrypt2016.iiitd.edu.in,103.25.231.5
aida.iiitd.edu.in,103.25.231.5
finnexia.iiitd.edu.in,103.25.231.5
traffickarma.iiitd.edu.in,103.25.231.35
salsa.iiitd.edu.in,103.25.231.5
compass.salsa.iiitd.edu.in,103.25.231.5
opendata.iiitd.edu.in,103.25.231.58
blr.opendata.iiitd.edu.in,103.25.231.58
esya.iiitd.edu.in,103.25.231.36
dhanjal-lab.iiitd.edu.in,103.25.231.5
deepgraphh.ahujalab.iiitd.edu.in,103.25.231.62
metabokiller.ahujalab.iiitd.edu.in,103.25.231.62
odorify.ahujalab.iiitd.edu.in,103.25.231.62
transcend.senguptalab.iiitd.edu.in,103.25.231.69
livinglab.iiitd.edu.in,103.25.231.5
sbilab.iiitd.edu.in,103.25.231.5
merc.sbilab.iiitd.edu.in,103.25.231.66
ecgdetect.sbilab.iiitd.edu.in,103.25.231.66
tavlab.iiitd.edu.in,103.25.231.5
coronaactionindia.tavlab.iiitd.edu.in,103.25.231.5
antibioticsteward.tavlab.iiitd.edu.in,103.25.231.28
vacsim.tavlab.iiitd.edu.in,103.25.231.39
federatedhealthplatform.tavlab.iiitd.edu.in,103.25.231.28
covision.tavlab.iiitd.edu.in,103.25.231.39
covidnlp.tavlab.iiitd.edu.in,103.25.231.5
wiser.tavlab.iiitd.edu.in,103.25.231.39
covibes.tavlab.iiitd.edu.in,103.25.231.39
evidenceflow.tavlab.iiitd.edu.in,103.25.231.40
strainflow.tavlab.iiitd.edu.in,103.25.231.40
dataquality.tavlab.iiitd.edu.in,103.25.231.28
raylab.iiitd.edu.in,103.25.231.5
ciclop.raylab.iiitd.edu.in,103.25.231.61
digest.raylab.iiitd.edu.in,103.25.231.61
cosylab.iiitd.edu.in,103.25.231.24
btech-csb.iiitd.edu.in,103.25.231.5
ecoclub.iiitd.edu.in,103.25.231.5
vlbc.iiitd.edu.in,103.25.231.5
wbc.iiitd.edu.in,103.25.231.5
cc.iiitd.edu.in,103.25.231.5
hipec.iiitd.edu.in,103.25.231.5
compsoc.iiitd.edu.in,103.25.231.5
dsc.iiitd.edu.in,103.25.231.5
muc.iiitd.edu.in,103.25.231.29
byld.iiitd.edu.in,103.25.231.35
convergence.iiitd.edu.in,103.25.231.5
d4rkc0de.iiitd.edu.in,103.25.231.5
ieee.iiitd.edu.in,103.25.231.5
techtree.iiitd.edu.in,103.25.231.5
pitchcafe.iiitd.edu.in,103.25.231.5
kc.kobo.melange.iiitd.edu.in,103.25.231.23
ee.kobo.melange.iiitd.edu.in,103.25.231.23
kf.kobo.melange.iiitd.edu.in,103.25.231.23
ayushmanbharat.melange.iiitd.edu.in,103.25.231.23
moodle.iiitd.edu.in,103.25.231.8
home.iiitd.edu.in,103.25.231.43
opine.iiitd.edu.in,103.25.231.35
flickscore.iiitd.edu.in,103.25.231.5
studentsenate.iiitd.edu.in,103.25.231.5
studentleave.iiitd.edu.in,103.25.231.5
pervasive.iiitd.edu.in,103.25.231.12
findmystuff.iiitd.edu.in,103.25.231.35
pag.iiitd.edu.in,103.25.231.5
tools.pag.iiitd.edu.in,103.25.231.35
precog.iiitd.edu.in,103.25.231.18
aasma.precog.iiitd.edu.in,103.25.231.22
gitlab.precog.iiitd.edu.in,103.25.231.17
nemo.precog.iiitd.edu.in,103.25.231.19
labs.precog.iiitd.edu.in,103.25.231.17
cyborg.iiitd.edu.in,103.25.231.5
research.iiitd.edu.in,103.25.231.5
cellatlassearch.iiitd.edu.in,103.25.231.35
innovatedelhi.iiitd.edu.in,103.25.231.5
smartdelhi.iiitd.edu.in,103.25.231.5
visiontoli.iiitd.edu.in,103.25.231.16
hmi.iiitd.edu.in,103.25.231.5
voixdeliterati.iiitd.edu.in,103.25.231.5
ink.iiitd.edu.in,103.25.231.5
studentcouncil.iiitd.edu.in,103.25.231.5
ecell.iiitd.edu.in,103.25.231.5
cvml.iiitd.edu.in,103.25.231.5
nrl.iiitd.edu.in,103.25.231.5
ssl.iiitd.edu.in,103.25.231.5
awl.iiitd.edu.in,103.25.231.5
acm.iiitd.edu.in,103.25.231.5
elysium.iiitd.edu.in,103.25.231.5
machaan.iiitd.edu.in,103.25.231.5
reggen.iiitd.edu.in,103.25.231.44
induction.iiitd.edu.in,103.25.231.5
crypto.iiitd.edu.in,103.25.231.5
idp.iiitd.edu.in,103.25.231.60
erp.iiitd.edu.in,103.25.231.4
foobar.iiitd.edu.in,103.25.231.48
ns1.iiitd.edu.in.,103.25.231.10
ns2.iiitd.edu.in.,103.25.231.10
